 Input electron beam energy in GeV.
  Electron beam energy:   10.618 GeV

  Th_e       Q^2       E_e     Th_p        P_p        Mott   Sig_p (fm^2/sr)
 20.100     8.130     6.286   -24.614     5.186    0.480E-05    0.696E-09
 20.150     8.154     6.273   -24.559     5.199    0.476E-05    0.681E-09
 20.200     8.177     6.260   -24.504     5.212    0.471E-05    0.667E-09
 20.250     8.201     6.248   -24.449     5.225    0.466E-05    0.652E-09
 20.300     8.224     6.235   -24.395     5.238    0.462E-05    0.638E-09
 20.350     8.248     6.223   -24.341     5.250    0.457E-05    0.625E-09
 20.400     8.271     6.210   -24.287     5.263    0.453E-05    0.611E-09
 20.450     8.295     6.198   -24.233     5.276    0.448E-05    0.599E-09
 20.500     8.318     6.185   -24.180     5.288    0.444E-05    0.586E-09
 20.550     8.342     6.173   -24.127     5.301    0.440E-05    0.574E-09
 20.600     8.365     6.160   -24.074     5.314    0.435E-05    0.562E-09
 20.650     8.388     6.148   -24.021     5.326    0.431E-05    0.550E-09
 20.700     8.411     6.136   -23.968     5.339    0.427E-05    0.538E-09
 20.750     8.435     6.123   -23.916     5.351    0.423E-05    0.527E-09
 20.800     8.458     6.111   -23.864     5.364    0.419E-05    0.516E-09
 20.850     8.481     6.099   -23.812     5.376    0.415E-05    0.506E-09
 20.900     8.504     6.086   -23.760     5.389    0.411E-05    0.495E-09
 20.950     8.527     6.074   -23.708     5.401    0.407E-05    0.485E-09
 21.000     8.550     6.062   -23.657     5.414    0.403E-05    0.475E-09
 21.050     8.573     6.050   -23.606     5.426    0.399E-05    0.465E-09
 21.100     8.596     6.037   -23.555     5.439    0.395E-05    0.456E-09
 21.150     8.619     6.025   -23.504     5.451    0.392E-05    0.447E-09
 21.200     8.642     6.013   -23.453     5.463    0.388E-05    0.438E-09
 21.250     8.664     6.001   -23.403     5.476    0.384E-05    0.429E-09
 21.300     8.687     5.989   -23.353     5.488    0.381E-05    0.420E-09
 21.350     8.710     5.977   -23.303     5.500    0.377E-05    0.412E-09
 21.400     8.733     5.964   -23.253     5.513    0.373E-05    0.404E-09
 21.450     8.755     5.952   -23.203     5.525    0.370E-05    0.396E-09
 21.500     8.778     5.940   -23.154     5.537    0.366E-05    0.388E-09
 21.550     8.800     5.928   -23.105     5.549    0.363E-05    0.380E-09
 21.600     8.823     5.916   -23.056     5.561    0.360E-05    0.373E-09
 21.650     8.845     5.904   -23.007     5.573    0.356E-05    0.365E-09
 21.700     8.868     5.892   -22.958     5.586    0.353E-05    0.358E-09
 21.750     8.890     5.880   -22.910     5.598    0.350E-05    0.351E-09
 21.800     8.912     5.869   -22.861     5.610    0.347E-05    0.344E-09
 21.850     8.935     5.857   -22.813     5.622    0.343E-05    0.338E-09
 21.900     8.957     5.845   -22.765     5.634    0.340E-05    0.331E-09
 21.950     8.979     5.833   -22.718     5.646    0.337E-05    0.325E-09
 22.000     9.001     5.821   -22.670     5.658    0.334E-05    0.319E-09
 22.050     9.024     5.809   -22.623     5.670    0.331E-05    0.312E-09
 22.100     9.046     5.798   -22.575     5.682    0.328E-05    0.307E-09
 22.150     9.068     5.786   -22.528     5.694    0.325E-05    0.301E-09
 22.200     9.090     5.774   -22.482     5.705    0.322E-05    0.295E-09
 22.250     9.112     5.762   -22.435     5.717    0.319E-05    0.289E-09
 22.300     9.134     5.751   -22.388     5.729    0.316E-05    0.284E-09
 22.350     9.155     5.739   -22.342     5.741    0.314E-05    0.279E-09
 22.400     9.177     5.727   -22.296     5.753    0.311E-05    0.273E-09
 22.450     9.199     5.716   -22.250     5.765    0.308E-05    0.268E-09
 22.500     9.221     5.704   -22.204     5.776    0.305E-05    0.263E-09
 22.550     9.243     5.693   -22.159     5.788    0.302E-05    0.258E-09
 22.600     9.264     5.681   -22.113     5.800    0.300E-05    0.254E-09
 22.650     9.286     5.670   -22.068     5.811    0.297E-05    0.249E-09
 22.700     9.307     5.658   -22.023     5.823    0.295E-05    0.244E-09
 22.750     9.329     5.647   -21.978     5.835    0.292E-05    0.240E-09
 22.800     9.351     5.635   -21.933     5.846    0.289E-05    0.236E-09
 22.850     9.372     5.624   -21.888     5.858    0.287E-05    0.231E-09
 22.900     9.393     5.612   -21.844     5.869    0.284E-05    0.227E-09
 22.950     9.415     5.601   -21.800     5.881    0.282E-05    0.223E-09
 23.000     9.436     5.590   -21.755     5.892    0.279E-05    0.219E-09
 23.050     9.457     5.578   -21.711     5.904    0.277E-05    0.215E-09
 23.100     9.479     5.567   -21.668     5.915    0.275E-05    0.211E-09
 23.150     9.500     5.556   -21.624     5.927    0.272E-05    0.207E-09
 23.200     9.521     5.544   -21.581     5.938    0.270E-05    0.204E-09
 23.250     9.542     5.533   -21.537     5.950    0.267E-05    0.200E-09
 23.300     9.563     5.522   -21.494     5.961    0.265E-05    0.196E-09
 23.350     9.584     5.511   -21.451     5.972    0.263E-05    0.193E-09
 23.400     9.605     5.499   -21.408     5.984    0.261E-05    0.190E-09
 23.450     9.626     5.488   -21.365     5.995    0.258E-05    0.186E-09
 23.500     9.647     5.477   -21.323     6.006    0.256E-05    0.183E-09
 23.550     9.668     5.466   -21.281     6.018    0.254E-05    0.180E-09
 23.600     9.689     5.455   -21.238     6.029    0.252E-05    0.177E-09
 23.650     9.709     5.444   -21.196     6.040    0.250E-05    0.174E-09
 23.700     9.730     5.433   -21.154     6.051    0.248E-05    0.171E-09
 23.750     9.751     5.422   -21.112     6.062    0.245E-05    0.168E-09
 23.800     9.771     5.411   -21.071     6.073    0.243E-05    0.165E-09
 23.850     9.792     5.400   -21.029     6.085    0.241E-05    0.162E-09
 23.900     9.813     5.389   -20.988     6.096    0.239E-05    0.159E-09
 23.950     9.833     5.378   -20.947     6.107    0.237E-05    0.156E-09
 24.000     9.854     5.367   -20.906     6.118    0.235E-05    0.154E-09
 24.050     9.874     5.356   -20.865     6.129    0.233E-05    0.151E-09
 24.100     9.894     5.345   -20.824     6.140    0.231E-05    0.149E-09
 24.150     9.915     5.334   -20.783     6.151    0.229E-05    0.146E-09
 24.200     9.935     5.324   -20.743     6.162    0.228E-05    0.144E-09
 24.250     9.955     5.313   -20.703     6.173    0.226E-05    0.141E-09
 24.300     9.976     5.302   -20.662     6.183    0.224E-05    0.139E-09
 24.350     9.996     5.291   -20.622     6.194    0.222E-05    0.137E-09
 24.400    10.016     5.281   -20.582     6.205    0.220E-05    0.134E-09
 24.450    10.036     5.270   -20.543     6.216    0.218E-05    0.132E-09
 24.500    10.056     5.259   -20.503     6.227    0.217E-05    0.130E-09
 24.550    10.076     5.249   -20.464     6.238    0.215E-05    0.128E-09
 24.600    10.096     5.238   -20.424     6.248    0.213E-05    0.126E-09
 24.650    10.116     5.227   -20.385     6.259    0.211E-05    0.124E-09
 24.700    10.136     5.217   -20.346     6.270    0.210E-05    0.122E-09
 24.750    10.156     5.206   -20.307     6.280    0.208E-05    0.120E-09
 24.800    10.175     5.196   -20.268     6.291    0.206E-05    0.118E-09
 24.850    10.195     5.185   -20.230     6.302    0.205E-05    0.116E-09
 24.900    10.215     5.175   -20.191     6.312    0.203E-05    0.114E-09
 24.950    10.234     5.164   -20.153     6.323    0.201E-05    0.112E-09
 25.000    10.254     5.154   -20.114     6.333    0.200E-05    0.110E-09
 25.050    10.274     5.143   -20.076     6.344    0.198E-05    0.109E-09
 25.100    10.293     5.133   -20.038     6.355    0.196E-05    0.107E-09
 25.150    10.313     5.122   -20.000     6.365    0.195E-05    0.105E-09
 25.200    10.332     5.112   -19.963     6.375    0.193E-05    0.103E-09
 25.250    10.351     5.102   -19.925     6.386    0.192E-05    0.102E-09
 25.300    10.371     5.091   -19.887     6.396    0.190E-05    0.100E-09
 25.350    10.390     5.081   -19.850     6.407    0.189E-05    0.987E-10
 25.400    10.409     5.071   -19.813     6.417    0.187E-05    0.971E-10
 25.450    10.429     5.061   -19.776     6.427    0.186E-05    0.956E-10
 25.500    10.448     5.050   -19.739     6.438    0.184E-05    0.941E-10
 25.550    10.467     5.040   -19.702     6.448    0.183E-05    0.927E-10
 25.600    10.486     5.030   -19.665     6.458    0.181E-05    0.912E-10
 25.650    10.505     5.020   -19.629     6.469    0.180E-05    0.898E-10
 25.700    10.524     5.010   -19.592     6.479    0.179E-05    0.884E-10
 25.750    10.543     5.000   -19.556     6.489    0.177E-05    0.871E-10
 25.800    10.562     4.990   -19.520     6.499    0.176E-05    0.858E-10
 25.850    10.581     4.979   -19.483     6.510    0.174E-05    0.844E-10
